인덱스,자재코드,자재내역,플랜트,특별재고,저장위치,배치,기말수량,기말금액,단가,대분류,소분류,유효기한,남은일,유효기한구간,3평판,예측부진재고,예측부진재고금액,판매개선율,권장판매량
2774,9312149,이지듀디더블유이지에프멜라토닝원데이앰플파이브엑스30ML(미국),1510,nan,5000,AHA,2644.0,12806587.747980613,4843.6413570274635,미국,원데이앰플,2028-08-25,892,24개월 이상,2035.0,0.0,0.0,,
2775,9312149,이지듀디더블유이지에프멜라토닝원데이앰플파이브엑스30ML(미국),1510,nan,5000,BJA,11495.0,55677657.39903069,4843.6413570274635,미국,원데이앰플,2028-08-31,898,24개월 이상,2035.0,0.0,0.0,,
2776,9312149,이지듀디더블유이지에프멜라토닝원데이앰플파이브엑스30ML(미국),1510,nan,5600,AHA,0.0,0.0,4843.6413570274635,미국,원데이앰플,2028-08-25,892,24개월 이상,2035.0,0.0,0.0,,
2777,9312149,이지듀디더블유이지에프멜라토닝원데이앰플파이브엑스30ML(미국),1510,nan,6080,BJA,98.0,474676.8529886914,4843.6413570274635,미국,원데이앰플,2028-08-31,898,24개월 이상,2035.0,0.0,0.0,,
2778,9312165,이지듀멜라비토닝앰플쿠션13호포슬린13G(미국),1510,nan,5000,AHA,1849.0,9368631.912631053,5066.864203694458,미국,앰플쿠션,2027-08-28,529,18개월 미만,340.6666666666667,0.0,0.0,,
2779,9312165,이지듀멜라비토닝앰플쿠션13호포슬린13G(미국),1510,nan,6080,AHA,154.0,780297.0873689466,5066.864203694458,미국,앰플쿠션,2027-08-28,529,18개월 미만,340.6666666666667,0.0,0.0,,
2780,9312166,이지듀멜라비토닝앰플쿠션17호아이보리13G(미국),1510,nan,5000,AHA,582.0,2948914.560344828,5066.8635057471265,미국,앰플쿠션,2027-08-28,529,18개월 미만,776.0,0.0,0.0,,
2781,9312166,이지듀멜라비토닝앰플쿠션17호아이보리13G(미국),1510,nan,5600,AHA,0.0,0.0,5066.8635057471265,미국,앰플쿠션,2027-08-28,529,18개월 미만,776.0,0.0,0.0,,
2782,9312166,이지듀멜라비토닝앰플쿠션17호아이보리13G(미국),1510,nan,6080,AHA,114.0,577622.4396551724,5066.8635057471265,미국,앰플쿠션,2027-08-28,529,18개월 미만,776.0,0.0,0.0,,
2783,9312167,이지듀멜라비토닝앰플쿠션19호샌드13G(미국),1510,nan,5000,nan,25.0,126671.5736040609,5066.862944162436,미국,앰플쿠션,,0,유효기한 없음,942.0,25.0,126671.5736040609,900% 이상,9420.0
2784,9312167,이지듀멜라비토닝앰플쿠션19호샌드13G(미국),1510,nan,6080,nan,172.0,871500.426395939,5066.862944162436,미국,앰플쿠션,,0,유효기한 없음,942.0,172.0,871500.426395939,900% 이상,9420.0
2785,9312168,이지듀멜라비토닝앰플쿠션21호베이지13G(미국),1510,nan,5000,AHA,23.0,116538.0,5066.869565217391,미국,앰플쿠션,2027-08-29,530,18개월 미만,996.6666666666666,0.0,0.0,,
2786,9312168,이지듀멜라비토닝앰플쿠션21호베이지13G(미국),1510,nan,5600,AHA,0.0,0.0,5066.869565217391,미국,앰플쿠션,2027-08-29,530,18개월 미만,996.6666666666666,0.0,0.0,,
2787,9312168,이지듀멜라비토닝앰플쿠션21호베이지13G(미국),1510,nan,6080,AHA,0.0,0.0,5066.869565217391,미국,앰플쿠션,2027-08-29,530,18개월 미만,996.6666666666666,0.0,0.0,,
2788,9312169,이지듀멜라비토닝앰플쿠션23호내추럴13G(미국),1510,nan,5000,AHA,80.0,405348.70588235295,5066.858823529412,미국,앰플쿠션,2027-08-29,530,18개월 미만,951.6666666666666,0.0,0.0,,
2789,9312169,이지듀멜라비토닝앰플쿠션23호내추럴13G(미국),1510,nan,6080,AHA,5.0,25334.29411764706,5066.858823529412,미국,앰플쿠션,2027-08-29,530,18개월 미만,951.6666666666666,0.0,0.0,,
2790,9312180,이지듀멜라비토닝앰플쿠션25호허니13G(미국),1510,nan,5000,AJA,543.0,2751307.249253731,5066.864179104477,미국,앰플쿠션,2027-08-31,532,18개월 미만,770.6666666666666,0.0,0.0,,
2791,9312180,이지듀멜라비토닝앰플쿠션25호허니13G(미국),1510,nan,5600,AJA,0.0,0.0,5066.864179104477,미국,앰플쿠션,2027-08-31,532,18개월 미만,770.6666666666666,0.0,0.0,,
2792,9312180,이지듀멜라비토닝앰플쿠션25호허니13G(미국),1510,nan,6080,AJA,127.0,643491.7507462687,5066.864179104477,미국,앰플쿠션,2027-08-31,532,18개월 미만,770.6666666666666,0.0,0.0,,
2793,9312181,이지듀멜라비토닝앰플쿠션27호골든13G(미국),1510,nan,5000,AJA,1424.0,7215213.572692794,5066.863463969658,미국,앰플쿠션,2027-08-31,532,18개월 미만,479.0,0.0,0.0,,
2794,9312181,이지듀멜라비토닝앰플쿠션27호골든13G(미국),1510,nan,6080,AJA,158.0,800564.427307206,5066.863463969658,미국,앰플쿠션,2027-08-31,532,18개월 미만,479.0,0.0,0.0,,
2795,9312182,이지듀멜라비토닝앰플쿠션33호아몬드13G(미국),1510,nan,5000,AJA,1705.0,8639002.664369036,5066.8637327677625,미국,앰플쿠션,2027-08-31,532,18개월 미만,378.3333333333333,0.0,0.0,,
2796,9312182,이지듀멜라비토닝앰플쿠션33호아몬드13G(미국),1510,nan,6080,AJA,181.0,917102.335630965,5066.8637327677625,미국,앰플쿠션,2027-08-31,532,18개월 미만,378.3333333333333,0.0,0.0,,
