자재,자재 내역,Stock Quantity on Period End,3평판,대분류,소분류,재고일수
7301041,[EA]디더블유이지에프더마톡스니들롤러대,7272.0,363.0,판촉물,판촉물,600.9917355371902
7301049,[상품]이지듀MD크림85g,1697.0,205.66666666666663,기타,기타,247.53646677471642
7301162,[판촉물_부자재][EA]리본고리선물케이스(소형)_판매용,180.0,0.0,판촉물,판촉물,999.0
7301234,[EA]아크네클리어필해면스펀지,1.0,0.0,판촉물,판촉물,999.0
7301237,[부자재]이지듀쇼핑백_소(200*80*200)_백색둥근종이끈,10885.0,393.3333333333333,판촉물,판촉물,830.2118644067797
7301307,용역비,500000000.0,0.0,미분류,미분류,999.0
7301308,용역비코드,499999988.0,1.0,기타,기타,14999999640.0
7301347,[판촉물_상품]이지듀가정의달세트_단상자,80.0,0.0,판촉물,판촉물,999.0
7301348,[판촉물_상품]이지듀가정의달세트_손잡이박스,490.0,133.66666666666666,판촉물,판촉물,109.97506234413967
7301441,[EA]디더블유이지에프더마톡스니들롤러대_미품,17125.0,0.0,판촉물,판촉물,999.0
7301514,[판촉물_부자재][EA]삼각형쇼핑백(끈조립),3738.0,0.0,판촉물,판촉물,999.0
7301542,[EA]디더블유이지에프 엠티에스 롤러대_AD(2024),10144.0,69.33333333333333,판촉물,판촉물,4389.2307692307695
7301580,[판촉물_상품][EA]멜라라필전용브러쉬,1040.0,0.0,판촉물,판촉물,999.0
7301591,레티놀배송지연엽서,107.0,0.0,판촉물,판촉물,999.0
7301695,[EA]멜라라필실리콘볼(소),5005.0,0.0,판촉물,판촉물,999.0
7301742,"[EA]멜라라필프로페셔널툴즈키트(브러쉬,보울)",11331.0,15.0,판촉물,판촉물,22662.0
7301750,[판촉물_부자재]이지듀 한가인 사인엽서,18910.0,0.0,판촉물,판촉물,999.0
7301751,[판촉물_부자재]이지듀 미니쇼핑백_24년추석용,7730.0,732.0,판촉물,판촉물,316.8032786885246
7301915,[EA]그린코스메틱파우치,1203.0,0.0,판촉물,판촉물,999.0
7301959,[판촉물_부자재]이지듀삼각쇼핑백_보테가,1229.0,88.33333333333333,판촉물,판촉물,417.39622641509436
7301960,이지듀밀착커버앰플쿠션퍼프(2개입),136.0,0.0,판촉물,판촉물,999.0
7301996,[판촉물_부자재] 한가인 사인 엽서(리뉴얼),2256.0,0.0,판촉물,판촉물,999.0
7302002,[상품]이지듀MD리젠크림85g,692.0,23.33333333333333,기타,기타,889.714285714286
7302064,[상품]이지듀멜라샷비타민CBA건기식파우더2g*30ea,10619.0,23.33333333333333,기타,기타,13653.000000000004
7302065,[상품]이지듀멜라샷비타민CBA건기식파우더2g*3ea,3539.0,0.0,기타,기타,999.0
7302156,'=배송비(해외)=,994.0,2.0,기타,기타,14910.0
7302184,[EA]현대팝업용멜라3종사쉐키트,3600.0,0.0,기타,기타,999.0
7302185,[카카오]멜라비토닝앰플쿠션본품(선물포장)_21호내추럴,1.0,0.0,임가공,임가공,999.0
7302211,[부자재_쇼핑백]이지듀중형쇼핑백(220*90*200)_25가정의달,5983.0,3210.333333333333,판촉물,판촉물,55.9100820267885
7302221,[판촉물-상품]이지듀로즈에디션프리저브드플라워,7775.0,0.0,판촉물,판촉물,999.0
7302222,[판촉물_상품]이지듀썸머메쉬백(L),5994.0,0.0,판촉물,판촉물,999.0
7302223,[판촉물]이지듀대형쇼핑백_2025_(285*90*250),7117.0,58.0,판촉물,판촉물,3681.206896551724
7302229,베리어리페어세트_쇼핑백(20CM),3951.0,20.0,판촉물,판촉물,5926.5
7302250,[판촉물]이지듀여행용파우치그린,3202.0,29.0,판촉물,판촉물,3312.4137931034484
