인덱스,자재코드,자재내역,플랜트,특별재고,저장위치,배치,기말수량,기말금액,단가,대분류,소분류,유효기한,남은일,유효기한구간,3평판
132,2303484,이지듀베리어리페어크림50ML_용기덧방라벨,1510,nan,5000.0,nan,1000.0,65000.0,65.0,세트포장재,세트포장재,,,유효기한 없음,0.0
133,2303485,이지듀베리어리페어크림105ML_용기덧방라벨,1510,nan,5000.0,nan,1000.0,65000.0,65.0,세트포장재,세트포장재,,,유효기한 없음,0.0
134,2303486,이지듀베리어리페어마스크25G(*4매입)_용기덧방라벨,1510,nan,5000.0,nan,4000.0,360000.0,90.0,세트포장재,세트포장재,,,유효기한 없음,0.0
135,2303487,이지듀베리어리페어토너200ML_용기덧방라벨,1510,nan,5000.0,nan,1000.0,70000.0,70.0,세트포장재,세트포장재,,,유효기한 없음,0.0
136,2303488,이지듀베리어리페어미스트60ML_용기덧방라벨,1510,nan,5000.0,nan,1000.0,65000.0,65.0,세트포장재,세트포장재,,,유효기한 없음,0.0
137,2303490,이지듀디더블유이지에프크림프레좀알엑스50ML_용기덧방라벨,1510,nan,5000.0,nan,1000.0,70000.0,70.0,세트포장재,세트포장재,,,유효기한 없음,0.0
138,2303493,이지듀클리어라하바디미스트100ML_단상자,1510,nan,5000.0,nan,1000.0,540000.0,540.0,세트포장재,세트포장재,,,유효기한 없음,0.0
139,2303494,이지듀디더블유이지에프멜라토닝원데이앰플1ML*7ea_단상자,1510,nan,5000.0,nan,1000.0,1185000.0,1185.0,세트포장재,세트포장재,,,유효기한 없음,0.0
140,2303495,이지듀디더블유이지에프멜라토닝원데이앰플1ML_단상자,1510,nan,5000.0,nan,1000.0,420000.0,420.0,세트포장재,세트포장재,,,유효기한 없음,0.0
141,2303499,이지듀멜라글루타치온크림105ML_단상자,1510,nan,5000.0,nan,1000.0,549000.0,549.0,세트포장재,세트포장재,,,유효기한 없음,0.0
142,2303500,이지듀디더블유이지에프와이드(프로텍션)패치4G_단상자,1510,nan,5000.0,nan,1000.0,594000.0,594.0,세트포장재,세트포장재,,,유효기한 없음,0.0
143,2303510,이지듀멜라토닝멜라씨비타에센스토너30ML_단상자,1510,nan,5000.0,nan,750.0,607500.0,810.0,세트포장재,세트포장재,,,유효기한 없음,0.0
144,2303511,이지듀멜라토닝멜라씨비타에센스토너150ML_단상자,1510,nan,5000.0,nan,0.0,0.0,0.0,세트포장재,세트포장재,,,유효기한 없음,0.0
145,2303512,이지듀멜라에이레티노0.03프로크림1ML_단상자,1510,nan,5000.0,nan,0.0,0.0,0.0,세트포장재,세트포장재,,,유효기한 없음,0.0
146,2303513,이지듀멜라에이레티노0.03프로크림30ML_단상자,1510,nan,5000.0,nan,1000.0,514000.0,514.0,세트포장재,세트포장재,,,유효기한 없음,0.0
147,2303514,이지듀멜라에이레티노0.3프로트리트먼트1ML_단상자,1510,nan,5000.0,nan,1000.0,514000.0,514.0,세트포장재,세트포장재,,,유효기한 없음,0.0
148,2303515,이지듀베리어리페어클렌저150ML_단상자,1510,nan,5000.0,nan,1000.0,550000.0,550.0,세트포장재,세트포장재,,,유효기한 없음,0.0
149,2303516,이지듀베리어리페어크림30G_단상자,1510,nan,5000.0,nan,1000.0,1399000.0,1399.0,세트포장재,세트포장재,,,유효기한 없음,0.0
150,2303517,이지듀베리어리페어크림50ML_단상자,1510,nan,5000.0,nan,1000.0,507000.0,507.0,세트포장재,세트포장재,,,유효기한 없음,0.0
151,2303518,이지듀베리어리페어크림105ML_단상자,1510,nan,5000.0,nan,1000.0,537000.0,537.0,세트포장재,세트포장재,,,유효기한 없음,0.0
152,2303519,이지듀베리어리페어마스크25G(*4매입)_단상자,1510,nan,5000.0,nan,1000.0,549000.0,549.0,세트포장재,세트포장재,,,유효기한 없음,0.0
153,2303520,이지듀베리어리페어토너200ML_단상자,1510,nan,5000.0,nan,1000.0,537000.0,537.0,세트포장재,세트포장재,,,유효기한 없음,0.0
154,2303521,이지듀베리어리페어미스트60ML_단상자,1510,nan,5000.0,nan,1000.0,495000.0,495.0,세트포장재,세트포장재,,,유효기한 없음,0.0
155,2303524,이지듀디더블유이지에프크림프레좀알엑스50ML_단상자,1510,nan,5000.0,nan,1000.0,702000.0,702.0,세트포장재,세트포장재,,,유효기한 없음,0.0
156,2303584,[추석세트]이지듀쿠션앤앰플기프트세트21호내추럴_싸바리(상단+포밍+하단),1510,nan,5000.0,nan,0.0,0.0,0.0,세트포장재,세트포장재,,,유효기한 없음,0.0
157,2303591,[부자재]]이지듀디더블유이지에프멜라토닝원데이앰플(1ml*7ea)_단상자,1510,O,,nan,24235.0,5670990.0,234.0,세트포장재,세트포장재,,,유효기한 없음,0.0
158,2303620,리프트이지에프10코어이펙트앰플1ml_용기라벨,1510,O,,nan,35760.0,894000.0,25.0,세트포장재,세트포장재,,,유효기한 없음,0.0
159,2303620,리프트이지에프10코어이펙트앰플1ml_용기라벨,1510,nan,7000.0,nan,0.0,0.0,25.0,세트포장재,세트포장재,,,유효기한 없음,0.0
